distribution,n,swaps_mean,swaps_std,swaps_ci95,rounds_mean,rounds_std,rounds_ci95,gain_mean,gain_std,gain_ci95,gap_mean,gap_std,gap_ci95,layer_before_mean,layer_before_std,layer_before_ci95,layer_after_mean,layer_after_std,layer_after_ci95,node_before_mean,node_before_std,node_before_ci95,node_after_mean,node_after_std,node_after_ci95,layer_gain_mean,layer_gain_std,layer_gain_ci95,node_gain_mean,node_gain_std,node_gain_ci95
Random,8,5.93,1.9962338277239704,0.3912618302338982,2.56,0.756386946027767,0.14825184142144235,28.46034143182242,12.098632140987833,2.3713318996336152,0.8263097752094127,1.8354248036301182,0.35974326151150315,1.51,0.5024183937956913,0.0984740051839555,1.0,0.0,0.0,4.5,0.9265990819042822,0.1816134200532393,3.11,0.46914924075501824,0.09195325118798357,25.5,25.120919689784568,4.9237002591977745,28.214285714285715,16.926325426768607,3.3175597836466464
Random,16,16.14,3.2474387732270773,0.6364979995525071,3.8,0.6963106238227914,0.1364768822692671,25.31262320718522,7.237625435554882,1.418574585368757,0.9972538910333012,1.0134979290394641,0.19864559409173496,2.01,0.09999999999999999,0.0196,1.52,0.5021167315686782,0.09841487938746094,8.57,1.0941072648834331,0.21444502391715287,5.5,0.6113406364191519,0.11982276473815379,24.166666666666664,25.33446302638003,4.965554753170485,34.71847041847042,11.265405178259698,2.2080194149389007
Random,32,39.04,5.544894821893251,1.086799385091077,4.88,0.8199531891048613,0.1607108250645528,23.445905186265296,3.9374940314124878,0.7717488301568476,0.9395964325411355,0.6025651748132911,0.11810277426340506,2.55,0.5,0.098,2.0,0.0,0.0,16.42,1.5254077116852027,0.29897991149029973,10.69,0.7874649262672022,0.15434312554837165,18.333333333333325,16.666666666666664,3.2666666666666666,34.39173683643498,7.261973888521931,1.4233468821502986
Random,64,91.87,9.129434027176366,1.7893690693265676,5.98,0.7518327774528889,0.14735922438076623,21.874792223657714,2.8648292492703296,0.5615065328569846,0.7515013394611088,0.3093743786731681,0.06063737821994094,3.0,0.0,0.0,2.02,0.14070529413628968,0.027578237650712777,32.71,2.2576245672982673,0.44249441519046034,19.95,1.0187633620614691,0.19967761896404795,32.66666666666666,4.690176471209654,0.9192745883570922,38.72461848418682,5.175855237688465,1.014467626586939
Random,128,209.41,15.811448990902738,3.0990440022169365,6.88,0.670895677509559,0.13149555279187358,20.687555416974625,2.2096448437453287,0.4330903893740844,0.6032177183464725,0.18389549511260977,0.03604351704207152,3.54,0.5009082659620331,0.09817802012855849,3.0,0.0,0.0,64.87,3.329255080936184,0.652533995863492,39.89,1.7049837820254177,0.3341768212769819,13.5,12.522706649050829,2.4544505032139625,38.332571177341975,4.292828567872252,0.8413943993029613
Random,256,458.47,19.925849917870377,3.9054665839025935,7.67,0.667499479816693,0.13082989804407183,19.19014549210249,1.2531727319478527,0.24562185546177914,0.47431379111479616,0.10249639169341791,0.020089292771909913,4.0,0.0,0.0,3.0,0.0,0.0,128.27,4.366666666666666,0.8558666666666666,77.88,2.0314695879753377,0.3981680392431662,25.0,0.0,0.0,39.215403316776275,2.592922831427534,0.5082128749597967
Random,512,996.48,35.50771149704773,6.959511453421355,8.41,0.5876678784428628,0.1151829041748011,18.01600682899855,0.8970831667200128,0.1758283006771225,0.3692856039589457,0.05945901544229494,0.011653967026689808,4.47,0.5016135580465919,0.09831625737713201,4.0,0.0,0.0,255.66,7.132540312758934,1.397977901300751,155.72,3.432112168824606,0.6726939850896227,9.4,10.03227116093184,1.9663251475426407,39.044862321775916,2.1431181074220613,0.42005114905472396
Random,1024,2169.41,53.90622141340188,10.565619397026769,9.32,0.6175873552900364,0.12104712163684712,17.336633913598934,0.6045422358100715,0.118490278218774,0.2842769629540557,0.03290843303070568,0.006450052874018314,5.0,0.0,0.0,4.0,0.0,0.0,514.0,9.928023799611712,1.9458926647238954,310.42,4.053131972669874,0.7944138666432953,20.0,0.0,0.0,39.58535273661358,1.3800820577297623,0.27049608331503344
Zipf,8,5.87,2.1113210953516206,0.4138189346889177,2.51,0.7587203474644433,0.14870918810303088,35.28892637388625,13.268244767356084,2.6005759744017922,0.6054781355117747,0.9295425195491234,0.18219033383162817,1.47,0.5016135580465918,0.09831625737713198,1.0,0.0,0.0,4.49,1.28310702451652,0.2514889768052379,2.74,0.440844002276808,0.08640542444625436,23.5,25.080677902329594,4.9158128688566,33.28095238095238,24.073252712098206,4.7183575315712485
Zipf,16,15.8,3.8323450636481953,0.7511396324750462,3.84,0.8130252769810427,0.15935295428828436,39.21002513047679,9.972175359202364,1.9545463704036632,0.9461888734622343,0.8686545797108054,0.17025629762331787,1.94,0.4886592665527574,0.09577721624434045,1.0,0.0,0.0,8.27,2.4488917303692106,0.47998277915236526,3.69,0.4860685407045247,0.09526943397808683,44.0,19.17489941764409,3.758280285858242,50.89072039072039,17.636779758522927,3.456808832670494
Zipf,32,39.23,5.620767768110537,1.101670482549665,4.83,0.7528397417562896,0.14755658938423277,44.10974877426159,6.410412039203878,1.2564407596839602,1.2844681118196255,0.9257202121895025,0.1814411615891425,2.5,0.502518907629606,0.09849370589540278,1.0,0.0,0.0,16.59,4.2428668600274495,0.8316019045653802,5.03,0.6735253251633257,0.13201096373201185,58.33333333333333,8.375315127160095,1.6415617649233785,67.04213992641269,11.748916243081279,2.302787583643931
Zipf,64,91.43,10.657434451635584,2.0888571525205744,6.02,0.8406346808612328,0.1647643974488016,46.14143334511955,4.892523987380436,0.9589347015265653,1.3835426203997951,0.7291644874273582,0.1429162395357622,2.95,0.4351941398892446,0.08529805141829194,1.0,0.0,0.0,32.14,7.799274765559094,1.5286578540495825,6.69,0.4648231987117318,0.09110534694749942,65.24999999999999,6.045910212948112,1.1849984017378299,77.75476292791302,6.522756576385451,1.2784602889715484
Zipf,128,204.22,15.843030523281087,3.1052339825630932,6.69,0.706320670013903,0.138438851322725,48.12812349276725,4.503237349548944,0.882634520511593,1.4256390999543762,0.7239386139446736,0.14189196833315604,3.51,0.5024183937956913,0.0984740051839555,1.87,0.3379976689896311,0.06624754312196769,65.44,14.22497448116864,2.7880949983090533,9.79,1.1485168301295847,0.22510929870539859,45.49999999999998,12.94358821462616,2.5369432900667275,84.28442945614545,4.066329617374066,0.7970006050053169
Zipf,256,458.79,21.640448005967663,4.241527809169662,7.71,0.7560530150830441,0.14818639095627664,50.2874972315299,3.27350875453466,0.6416077158887934,1.4093900902527647,0.507344349639636,0.09943949252936866,4.0,0.4264014327112209,0.0835746808113993,2.0,0.0,0.0,126.87,26.086745347556924,5.113002088121157,15.93,1.7823772571677092,0.349345942404871,49.4,5.829219328503432,1.1425269883866727,86.87208345656921,3.3269565697604198,0.6520834876730423
